,image_id,entropy
0,991b6a11393bf5d10e91a50f581cba68,1.3184186
1,7a5f4e79d1efd7b32518909b00753bd5,1.3184186
2,506eec1a2c0a806ef10ff76a9934cfe0,1.3184186
3,0470680842880ac7493bbf5e7cfbc26b,1.3184186
4,93b3300fd244ac326a9f11a6a47ed016,1.3184186
5,dd26b0dd91cb20493617a9b82ab9d8fd,1.3184186
6,b272895e4dc95112031833596f94621a,1.3184186
7,ac0d8bc88d9ec900be978a70b90e425b,1.3184186
8,65b25c89a74ee86c54185060a6bfc25b,1.3184186
9,8364aaf55439cd2b1207b7bfa35d79a2,1.3184186
10,ab7f757a2343686945a621a662b6f667,1.3184186
11,8dbbf6f6aebb8aea3339f70dbfd7cf07,1.3184186
12,48896f2b866e9694586b3377025c4927,1.3184186
13,d49ec86c92a9a403ccd971a0e12fe734,1.3184186
14,f709898cdc46cedb62cef65b87039218,1.3184186
15,331df8bf3a7f766dfe45ed525040fa85,1.3184186
16,e7ded102214a944d051a2628d5452faa,1.3184186
17,8addcf68a92fde8dba0b2a99caf9bff9,1.3184186
18,e2876d9ebfde8e9b19701ac52b33dcd4,1.3184186
19,6d5cb5353d700dfd4e6380508535e41b,1.3184186
20,cf481e35314bb3e93f3716b6c456e85d,1.3184186
21,061054331a952dd1c9df45c283d756b0,1.3184186
22,f64bc2a754fc8d937ef7f307f381c9ef,1.3184186
23,b9cc03cf0199515ed4af44cad50b93d6,1.3184186
24,144fdfa6434011495a994327bff50aa0,1.3184186
25,feaf693051419310372e21ca9cf326c0,1.3184186
26,9b1f3966737b74ae375dd220e56806d1,1.3184186
27,8c5fd47e838f44848c14076f71fe0d10,1.3184186
28,fe8e6d622955498e6d221940363f57b4,1.3184186
29,bff2576aa2577cf63a76c2917c3bc387,1.3184186
30,a7ca49c094be4bd969166477d5631a90,1.3184186
31,38b05b6f866c00580bb9cf735d1acddf,1.3184186
32,4e91bf38ee93ccd817df1e1bf599e095,1.3184186
33,30e6954a2b038cf46b628bbbf6cd23d4,1.3184186
34,3d4cd7d76ac3fd28bcb64af6e7a4ad9e,1.3184186
35,1b176c9049260a8843b97349ccdd3eb7,1.3184186
36,00ee879798782aca1248baa9132d7307,1.3184186
37,8a1520420384d8c11733edd40969effc,1.3184186
38,01e9fa9938ac458e6307690bfce89ec1,1.3184186
39,d6dd4eb14b82f49e51c17099b0f54235,1.3184186
40,55c836a2684cfeb94928d662a52344d5,1.3184186
41,4351d8299a773ed099cc12148b61fefd,1.3184186
42,bfcc9e5ac8e39cf903c5a70ca5f8e2e7,1.3184186
43,7c779d271feb1330e45e39af542c3f13,1.3184186
44,d769521a224966070d505f330609eede,1.3184186
45,9c2eafb5480094f718bc40213531b7d5,1.3184186
46,f4edc6dd9136cf963f72a57efde4cfb4,1.3184186
47,5c845f5a01b97dd479aeef86b465605f,1.3184186
48,d9a927bfb26b22cde6b52515c9adda7b,1.3184186
49,ef8bfc5bb8d4620c501fcd726ef36dc0,1.3184186
50,07a14fa5b8f74272e4cc0a439dbc8f7f,1.3184186
51,2c6b8913a7bae36c8ceb01fbd102d74f,1.3184186
52,a4514f8a6800bf122ae746c4f573ee6f,1.3184186
53,23a080bdf72d0fcb4b804fd1c81341d1,1.3184186
54,fd8f72156916289ccbcce7ad19b2ee69,1.3184186
55,6905286a3f8f3d33dfa27a738f2b7f67,1.3184186
56,faa8152ba98c87d018ea66bb75d381b3,1.3184186
